                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2146,                 4.0737,                  1.259,                0.75593,                0.07124,                 0.0567,                0.03115,                 2.2375,                 3.0367,                 1.1426,             0.00019456,             0.00019456,             0.00019456
                      2,                 2.2667,                 3.0683,                 1.1344,                0.71655,                0.09427,                0.08826,                0.04984,                 2.1837,                 2.5446,                 1.1019,             0.00038283,             0.00038283,             0.00038283
                      3,                 2.2679,                  2.625,                 1.1193,                0.66722,                0.11638,                0.10772,                0.05966,                 2.1436,                 2.2695,                 1.0829,             0.00056333,             0.00056333,             0.00056333
                      4,                 2.1574,                 2.3712,                 1.1051,                0.42335,                0.12724,                0.15357,                 0.0736,                 2.0991,                 2.0592,                  1.073,             0.00055307,             0.00055307,             0.00055307
                      5,                 2.1242,                 2.1855,                 1.0809,                0.60081,                0.14573,                0.14106,                0.08182,                 1.9881,                 1.9182,                  1.054,             0.00055307,             0.00055307,             0.00055307
                      6,                 2.1037,                 2.0903,                 1.0772,                0.36447,                0.20049,                0.15763,                 0.0961,                 1.9692,                 1.8441,                  1.057,             0.00054143,             0.00054143,             0.00054143
                      7,                 2.0638,                 2.0351,                 1.0695,                0.28491,                0.28075,                0.17739,                0.10447,                 1.9413,                 1.8034,                 1.0425,             0.00052979,             0.00052979,             0.00052979
                      8,                 1.9912,                 1.9367,                 1.0505,                0.51419,                0.26236,                0.20839,                0.12614,                 1.9156,                 1.7488,                 1.0395,             0.00051815,             0.00051815,             0.00051815
                      9,                 1.9732,                 1.8785,                 1.0382,                0.56461,                0.26132,                0.22444,                0.14153,                 1.9043,                 1.7171,                 1.0354,              0.0005065,              0.0005065,              0.0005065
                     10,                 1.9571,                 1.8733,                 1.0424,                 0.5798,                 0.2576,                 0.2413,                0.14822,                 1.9361,                 1.7139,                 1.0303,             0.00049486,             0.00049486,             0.00049486
                     11,                 1.9398,                 1.7906,                 1.0295,                0.57228,                0.28909,                0.26125,                0.16522,                 1.8468,                 1.6307,                 1.0183,             0.00048322,             0.00048322,             0.00048322
